Citation,White,Black,Hispanic,Situational Vulnerability,Indigenous,Indian,First Nation,Métis,Metis,Inuit,reserve,American Indian,Alaska Native,Enrolled Tribe,Principal Tribe,Native Hawaiian,Samoan,Chamorro,Pacific Islander
"Woods et al., 2023",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wu et al., 2023",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wu et al., 2025a",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wu et al., 2025b",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yang et al., 2023",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
"Yang et al., 2025a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yang et al., 2025b",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yeager et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yoon et al., 2025",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Young et al., 2024",1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1
"Zamponi et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zhang & Park, 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zhang et al., 2008",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zhang et al., 2011",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zhang et al., 2022",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
"Zhao & Meng, 2025",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zhou & Kim, 2013",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zhu et al., 2025a",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zhu et al., 2025b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el-Murr et al., 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
